"CustomerKey","CName","CAddress","CAddress2","CCity","CState","CZip","CCountry","CPhone","CFax","CShipVia","CTerms","CStateTaxRate","CLocalTaxRate","CDateAdded"
"PACNOC ","Pacific Northern Const        ","PO Box 1040                   ","                              ","Renton           ","WA","98057          ","USA","1 425-204-6045      ","14252282245         ","Bestway","2/10 Net 30",0.065,0.013,1998-05-07
"PANFIU ","Pan Fish USA                  ","#124 1334 Island Hwy          ","                              ","Campbell River   ","BC","V9W 8C9        ","CA ","250-286-1599        ","12502863992         ","Bestway","2/10 Net 30",,,1977-10-01
"PARSHC ","Parentier & Shipp Const       ","262 Larmon Rd                 ","                              ","Ethel            ","WA","98542          ","USA","1 360-262-0197      ","13602629809         ","USF","2/10 Net 30",0.065,0.013,1988-07-13
"PARBBW ","Parrott's B & B Welding       ","PO Box 222                    ","                              ","Enumclaw         ","WA","98022          ","USA","1 360-825-0565      ","13608250562         ","UPS","1/10 Net 30",0.065,0.013,1990-07-13
"PECWEL ","Peck Weld                     ","9610 Portland Ave E           ","                              ","Tacoma           ","WA","98445          ","USA","1-253-537-6301      ","12535374264         ","Deliver","1/10 Net 30",0.065,0.015,1984-03-06
"PERSTW ","Perschon Steven W             ","PO Box 11265                  ","                              ","Olympia          ","WA","98512          ","USA","360-357-4272        ","                    ","USF","1/10 Net 30",0.065,0.015,2009-11-04
"PETTRT ","Pettyjohn Trucking            ","PO Box 185                    ","                              ","Shelton          ","WA","98584          ","USA","360-427-2869        ","3604329405          ","Bestway","1/10 Net 30",0.065,0.015,1977-08-20
"PORAPW ","Port-A-Pro Welding Inc        ","10913 Mountain Loop Hwy Ste B ","                              ","Granite Falls    ","WA","98252          ","USA","1-425-377-9027      ","14253779026         ","Bestway","1/10 Net 30",0.065,0.015,1998-08-13
"PORBOM ","Portland Bolt & Mfg Co Inc    ","PO Box 2866                   ","                              ","Portand          ","OR","97208          ","USA","1 800-547-6758      ","15032274634         ","Fed Ex","1/10 Net 30",,,1977-11-21
"PORFAE ","Portland Fasteners East       ","changed to Eagle Bolt Inc     ","12763 NE Whitaker Way         ","Portland         ","OR","97294-3238     ","USA","1-503-253-4885      ","15032535102         ","Deliver","1/10 Net 30",,,1987-12-11
"PREMAW ","Precision Machine Works       ","3605 Jackson Highway          ","                              ","Chehalis         ","WA","98532          ","USA","360-266-0566        ","                    ","Deliver","Cash",0.065,0.015,1982-11-02
"PROTOW ","Professional Towel            ","701 78th Ave SW               ","                              ","Tumwater         ","WA","98501          ","USA","360-352-2839        ","                    ","Deliver","2/10 Net 30",0.065,0.015,1995-06-02
"PRYBRO ","Pryde Brothers Inc            ","PO Box 448                    ","                              ","Hoquiam          ","WA","98550          ","USA","360-532-2780        ","3605328428          ","Will Call","2/10 Net 30",0.065,0.015,1997-07-15
"PUGBSC ","Puget Builders Supply-Closed  ","2419 Pacific Hwy E            ","                              ","Tacoma           ","WA","98424          ","USA","1 360-926-0797      ","13609260799         ","Deliver","2/10 Net 30",0.065,0.015,1978-01-16
"PUGMAR ","Puget Marina                  ","8141 Walnut Rd NE             ","                              ","Olympia          ","WA","98506          ","USA","360-491-7388        ","                    ","UPS","1/10 Net 30",0.065,0.015,1991-03-13
"PUGSOP ","Puget Sound Plywood           ","230 E 'F' St                  ","                              ","Tacoma           ","WA","98401          ","USA","360-627-4111        ","                    ","Deliver","1/10 Net 30",0.065,0.021,1968-07-09
"PYRCOC ","Pyramid Concrete Const Llc    ","7712 Grange St W              ","                              ","Lakewood         ","WA","98499          ","USA","1-253-473-2229      ","12534739890         ","US Mail","1/10 Net 30",0.065,0.021,1982-09-13
"QUAAUR ","Quality Auto Repair           ","PO Box 138                    ","                              ","Yelm             ","WA","98597          ","USA","360-458-9112        ","3604589766          ","Deliver","1/10 Net 30",0.065,0.021,2007-02-20
"RRELE  ","R & R Electric                ","PO Box 6226                   ","                              ","Federal Way      ","WA","98063          ","USA","1 253-383-6324      ","12533830664         ","Fed Ex","1/10 Net 30",0.065,0.021,1996-02-02
"RAICAW ","Rail Car Washington           ","139 Habein Rd                 ","                              ","Chehalis         ","WA","98532          ","USA","1 360-748-8583      ","13607486976         ","Bestway","2/10 Net 30",0.065,0.021,1991-08-15
"RAICON ","Rain City Contractors Inc     ","3620 - 100th Street SW        ","Suite B                       ","Lakewood         ","WA","98499-4422     ","USA","1-253-581-1809      ","12535840467         ","Bestway","2/10 Net 30",0.065,0.021,1969-08-24
"RENLAW ","Renton Lawnmower              ","58 Logan Ave S                ","                              ","Renton           ","WA","98055          ","USA","1 360-226-0440      ","                    ","Deliver","2/10 Net 30",0.065,0.021,2006-10-17
"REPPLU ","Repairs Plus                  ","1024 E Johns Prairie Road     ","                              ","Shelton          ","WA","98584          ","USA","360-426-9299        ","3604273768          ","Deliver","2/10 Net 30",0.065,0.019,2001-03-05
"ROCMOC ","Rocky Mountain Coasters       ","PO Box 2848                   ","                              ","Hayden           ","ID","83835          ","USA","1 208-772-8181      ","12537728383         ","Will Call","2/10 Net 30",,,2006-10-12
"RUNPRO ","Rundel Products               ","7723 Center St SW             ","                              ","Olympia          ","WA","98502          ","USA","360-357-5511        ","                    ","Deliver","1/10 Net 30",0.065,0.019,2002-08-26
"SKBUI  ","S & K Builders                ","3260 E Johns Prairie Rd       ","                              ","Shelton          ","WA","98584          ","USA","360-427-5100        ","3604275101          ","Deliver","1/10 Net 30",0.065,0.019,1974-08-17
"SABCON ","Sabey Construction Inc        ","101 Elliott Ave W             ","Suite 400                     ","Seattle          ","WA","98119          ","USA","1 206-281-4200      ","12062810920         ","Deliver","Cash",0.065,0.019,1978-04-18
"SCABWS ","Scarsella Bros/Western S&G    ","PO Box 68388                  ","                              ","Seattle          ","WA","98188          ","USA","360-264-4999        ","                    ","Deliver","1/10 Net 30",0.065,0.019,2009-06-24
"SCHTRU ","Scherer Trucking Inc          ","6725 Grange Rd                ","                              ","Aberdeen         ","WA","98520          ","USA","1 360-532-4941      ","13605324941         ","Bestway","1/10 Net 30",0.065,0.019,1968-08-07
"SCOCON ","Scoccolo Construction Inc     ","2825 S 154th St               ","                              ","Seattle          ","WA","98188          ","USA","1 206-242-0633      ","12062420792         ","Bestway","1/10 Net 30",0.065,0.019,1969-01-10
"SEATNB ","Sea-Tac Nut & Bolt            ","PO Box 69317                  ","                              ","Seattle          ","WA","98168          ","USA","1-206-835-5205      ","12068355207         ","Deliver","1/10 Net 30",0.065,0.019,2009-11-16
"SEALIG ","Seaport Lighting              ","PO Box 68                     ","                              ","Lincoln          ","OR","97367-1834     ","USA","1 503-659-3576      ","15036593037         ","Bestway","2/10 Net 30",0.065,0.019,1998-08-03
"SEACOM ","SeaComa Communications Inc    ","PO Box 5086                   ","                              ","Kent             ","WA","98064          ","USA","1 360-228-4393      ","                    ","Deliver","Cash",0.065,0.019,1981-06-01
"SEIIBW ","Seidelhuber Iron & Bronze Wks ","8009 7th Ave S                ","                              ","Seattle          ","WA","98108          ","USA","1 206-767-4321      ","12067674592         ","USF","2/10 Net 30",0.065,0.019,2002-04-07
"SIEPAI ","Sierra Pacific Industries     ","                              ","                              ","Aberdeen         ","WA","98520          ","USA","1 360-532-2323      ","13605329287         ","Will Call","2/10 Net 30",0.065,0.013,2010-12-04
"SINYAC ","Sinek Yachts                  ","30719 66th Ave E              ","                              ","Graham           ","WA","98338          ","USA","1 360-846-0134      ","13608471612         ","Deliver","1/10 Net 30",0.065,0.013,1999-02-02
"SKYRAN ","Skyranch                      ","6307 Pacific Highway E        ","                              ","Fife             ","WA","98424          ","USA","1 253-926-3226      ","12539225151         ","Deliver","1/10 Net 30",0.065,0.013,1985-04-26
"SOILS  ","Soils Inc                     ","3719 70th Ave E               ","                              ","Puyallup         ","WA","98371          ","USA","1-360-922-5739      ","                    ","Bestway","1/10 Net 30",0.065,0.013,1980-09-20
"SORNAP ","Sorensen's NAPA               ","PO Box 67                     ","                              ","Graham           ","WA","98338-0067     ","USA","360-847-2221        ","                    ","Deliver","1/10 Net 30",0.065,0.013,1984-05-24
"SOUBCP ","South Bay Concrete Pumping    ","8411 Old Highway 99 SE        ","                              ","Olympia          ","WA","98501          ","USA","360-352-1068        ","                    ","Bestway","1/10 Net 30",0.065,0.013,1978-08-11
"SOUSOS ","South Sound Soils             ","4400 163rd Ave SW             ","                              ","Tenino           ","WA","98589          ","USA","360-273-8862        ","3602738936          ","Bestway","Cash",0.065,0.013,2003-06-24
"SPETRS ","Specialized Transport Service ","5111 85th Ave E               ","                              ","Puyallup         ","WA","98371          ","USA","1 253-926-0290      ","                    ","Will Call","1/10 Net 30",0.065,0.013,1972-03-21
"STAGEP ","Stageplan Inc                 ","1101 Battersby Ave            ","                              ","Enumclaw         ","WA","98022          ","USA","1 360-825-2428      ","13608255435         ","Deliver","2/10 Net 30",0.065,0.015,1999-09-27
"STAWIS ","State Wide Steel Inc          ","1433 Valentine Ave            ","                              ","Auburn           ","WA","98047          ","USA","1 253-863-7588      ","12538637545         ","Deliver","2/10 Net 30",0.065,0.015,1982-03-19
"STASUP ","Stauffer Supply Inc           ","** use STAEPH **              ","                              ","Portland         ","OR","97214          ","USA","1 503-233-6175      ","15032331656         ","Bestway","2/10 Net 30",,,1974-05-13
"STUBUN ","Stump Buster Northwest        ","PO Box 2033                   ","                              ","Elma             ","WA","98541          ","USA","360-754-2384        ","                    ","Bestway","2/10 Net 30",0.065,0.015,1987-02-24
"SUPBWA ","Super Bee Wheel Alignment     ","2536-B Mottman Rd SW          ","                              ","Tumwater         ","WA","98502          ","USA","360-943-8136        ","                    ","USF","2/10 Net 30",0.065,0.015,2007-03-16
"SACIND ","SAC Industries                ","1722A Bishop Rd               ","                              ","Chehalis         ","WA","98532          ","USA","1-360-748-8850      ","13607407893         ","UPS","1/10 Net 30",0.065,0.015,1969-01-09
"SECCOE ","SECO Construction Equipment   ","PO Box 10588                  ","                              ","Yakima           ","WA","98909          ","USA","1 509-248-7900      ","15094532094         ","Deliver","1/10 Net 30",0.065,0.015,1995-12-27
"TAYEQU ","Taylor Equipment              ","15427 11th SW                 ","                              ","Seattle          ","WA","98166          ","USA","1 360-241-5990      ","13602489430         ","USF","1/10 Net 30",0.065,0.015,1983-05-15
"THERIF ","The Riflesmith                ","353 Millcreek Rd              ","                              ","Sheridan         ","MT","59749          ","USA","1 406-842-5814      ","                    ","Bestway","1/10 Net 30",,,1970-01-21
"THOSHO ","Thompson' Shop                ","425 Central Ave               ","                              ","Pe Ell           ","WA","98572          ","USA","1 360-291-2510      ","                    ","Bestway","1/10 Net 30",0.065,0.015,2006-07-28
"THUFID ","Thurston Co Fire Dist         ","                              ","                              ","Olympia          ","WA","98540          ","USA","360-491-5533        ","3604593873          ","Fed Ex","1/10 Net 30",0.065,0.015,1984-03-11
"TITRAS ","Titan Railway Services Inc    ","PO Box 9584                   ","                              ","Tacoma           ","WA","98409          ","USA","360-474-6414        ","                    ","Deliver","1/10 Net 30",0.065,0.021,1978-01-16
"TOPPRE ","Topco Precision               ","2837 Marvin Rd NE             ","                              ","Olympia          ","WA","98506          ","USA","360-493-0170        ","                    ","Deliver","Cash",0.065,0.021,1974-03-10
"TORLCW ","Tork Lift Central Welding     ","315 North Central             ","                              ","Kent             ","WA","98032          ","USA","1-253-854-1832      ","12538548003         ","Deliver","2/10 Net 30",0.065,0.021,2009-11-27
"TOTMAS ","Totem Marine Services         ","705 Dock St                   ","                              ","Tacoma           ","WA","98402          ","USA","1 360-572-2666      ","                    ","Will Call","2/10 Net 30",0.065,0.021,1995-08-06
"TRIFAC ","Triangle Fastener Corp        ","wrong code use TRIFAS         ","                              ","Tukwila          ","WA","98188          ","USA","1-206-575-0144      ","12065751118         ","Deliver","2/10 Net 30",0.065,0.021,1970-02-21
"TUMLUM ","Tumwater Lumber               ","PO Box 14487                  ","                              ","Tumwater         ","WA","98511-4487     ","USA","360-352-1548        ","3609434091          ","UPS","1/10 Net 30",0.065,0.021,1992-04-06
"TRSMAN ","TRSW Manufacturing            ","7717 POrtland Ave E           ","                              ","Tacoma           ","WA","98404-3327     ","USA","1 253-531-1335      ","12535312992         ","Deliver","1/10 Net 30",0.065,0.021,1977-05-05
"VRSAL  ","V R Sales Inc                 ","500 Valley Ave NE             ","                              ","Puyallup         ","WA","98372          ","USA","1 253-845-5022      ","12538457941         ","US Mail","1/10 Net 30",0.065,0.019,1988-08-08
"VADELE ","Vadnais Electric Corporation  ","2316 Interavenue #D           ","                              ","Puyallup         ","WA","98371          ","USA","                    ","                    ","Deliver","1/10 Net 30",0.065,0.019,1975-09-16
"VENCON ","Venture Construction          ","PO Box 878                    ","                              ","Auburn           ","WA","WA             ","USA","1 360-228-1415      ","13602281353         ","Fed Ex","1/10 Net 30",0.065,0.019,2004-10-12
"VIRKIT ","Virginia Kitchens             ","6303 Rich R0Ad SE             ","                              ","Olympia          ","WA","98501          ","USA","360-491-5900        ","3604915908          ","Bestway","2/10 Net 30",0.065,0.019,1971-01-16
"WASFIB ","Washington Fiber              ","513 'A' St NE                 ","                              ","Auburn           ","WA","98002          ","USA","                    ","                    ","Bestway","2/10 Net 30",0.065,0.019,2004-11-11
"WESSHM ","Western Sheet Metal           ","8310 30th Ave NE              ","                              ","Lacey            ","WA","98516          ","USA","360-493-8870        ","3604938875          ","Deliver","2/10 Net 30",0.065,0.019,1986-09-01
"WILGRS ","Wilcor Grounding Sustems      ","4045 - 7th Avenue South       ","                              ","Seattle          ","WA","98108          ","USA","1-206-292-9756      ","12066237063         ","Deliver","2/10 Net 30",0.065,0.019,1999-10-28
"WILCON ","Wilder Construction           ","1525 East Marine View Drive   ","                              ","Everett          ","WA","98201-1927     ","USA","1-360-752-4301      ","13607524308         ","Will Call","2/10 Net 30",0.065,0.019,1992-01-10
"WILMES ","Wilson Medical Specialties    ","14360 NE 21st Str             ","                              ","Bellevue         ","WA","98007          ","USA","1 360-641-5170      ","13606410105         ","Deliver","1/10 Net 30",0.065,0.019,2000-03-27
"WINK   ","Wink Corporation              ","PO Box J                      ","                              ","Lynnwood         ","WA","98046          ","USA","360-771-4583        ","                    ","Deliver","1/10 Net 30",0.065,0.019,1978-10-15
"WOLFKI ","Wolfkill                      ","PO Box 120                    ","                              ","Rochester        ","WA","98579          ","USA","1 360-273-5921      ","13602738665         ","Deliver","Cash",0.065,0.019,2004-11-15
"WOOELE ","Wood Electric                 ","PO Box 82                     ","                              ","Olympia          ","WA","98507          ","USA","360-352-4333        ","                    ","Deliver","1/10 Net 30",0.065,0.019,1970-06-04
"WOOINM ","Wood In Motion                ","2641 114th Ave SW             ","                              ","Olympia          ","WA","98502          ","USA","360-352-7358        ","                    ","Bestway","1/10 Net 30",0.065,0.013,1988-06-25
"WOORAF ","Woods Race Farm               ","21037 SE 286th Place          ","                              ","Kent             ","WA","98042          ","USA","1-253-631-9620      ","                    ","Bestway","1/10 Net 30",0.065,0.013,1983-02-09
"YELPUM ","Yelm Pump                     ","11520 Vail Rd S E             ","                              ","Yelm             ","WA","98597          ","USA","360-458-5829        ","3604587517          ","Deliver","1/10 Net 30",0.065,0.013,1997-06-24
"YMCTPC ","YMCA of Tacoma-Pierce Cnty    ","1002 S Peral St               ","                              ","Tacoma           ","WA","98465          ","USA","1 253-564-9622      ","12535641211         ","Bestway","2/10 Net 30",0.065,0.013,1994-10-17
"ZORMAN ","Zorn Manufacturing            ","6714 Schincke Rd NE           ","                              ","Olympia          ","WA","98506-9635     ","USA","360-456-5656        ","                    ","Deliver","Cash",0.065,0.013,1997-10-11
